# id
#   gender
#           age
#                unused
#                    has_glasses
#                        has_jacket
#                            has_hat
#                                unused
#                                    unused
#                                        has_long_sleeves
#                                            has_long_hair
#                                                has_long_trousers
1	male	29   0   0   0   0   0   0   0   0   1
2	male	32   0   0   0   0   0   0   0   0   1
3	male	29   0   1   0   0   0   0   1   0   1
4	male	26   0   1   0   0   0   0   1   0   1
5	male	25   0   0   0   0   0   0   1   0   1
6	female	34   0   0   0   0   0   0   1   1   1
7	male	25   0   0   0   0   0   1   0   0   0
8	male	27   0   1   0   0   0   0   0   0   1
9	male	28   0   1   0   0   0   0   1   0   1
10	male	27   0   1   0   0   0   0   1   0   1
11	female	34   1   0   0   0   0   0   1   1   1
12	male	28   0   0   1   0   0   0   1   0   1
13	male	42   0   0   0   0   0   0   1   0   1
14	female	45   1   0   0   0   0   0   1   1   1
15	male	25   0   1   1   1   0   0   1   0   1
16	male	23   0   1   0   0   0   0   1   0   1
17	male	23   0   0   0   0   0   0   1   0   1
18	male	25   0   0   0   0   0   0   0   0   1
19	male	27   0   1   0   0   0   0   1   0   1
20	male	24   0   1   0   0   0   0   1   0   1
21	female	24   1   0   0   0   0   0   1   1   1
22	male	23   0   1   0   0   0   0   1   0   1
23	male	26   0   1   0   0   0   0   1   0   1
24	male	24   0   0   0   0   0   0   0   0   1
25	male	35   0   1   0   0   0   0   0   0   1
26	female	25   1   0   0   0   0   0   1   1   1
27	male	26   0   0   0   0   0   0   1   0   1
28	male	29   1   1   0   0   0   0   1   1   1
29	female	24   0   0   0   0   0   0   1   0   1
30	male	34   0   0   0   0   0   0   0   0   1
31	male	29   0   1   0   0   0   0   0   0   1
32	male	31   0   1   0   0   0   0   0   0   0
33	male	24   0   0   0   0   0   1   0   0   0
34	male	24   0   0   0   0   0   1   0   0   0
35	male	26   0   0   0   0   0   1   0   0   0
36	male	52   0   1   0   0   0   0   0   0   1
37	female	19   1   0   0   0   0   0   1   1   1
38	male	26   0   0   0   0   0   0   0   0   1
39	male	26   1   0   0   0   0   1   0   1   0
40	male	21   1   0   0   0   0   0   0   0   1
41	male	23   0   0   0   0   0   0   0   0   1
42	male	26   0   0   0   0   0   0   0   0   1
43	male	22   0   0   0   0   0   0   0   0   1
44	female	24   0   0   0   0   0   0   0   0   1
45	female	24   1   0   0   0   1   0   0   1   1
46	female	22   1   1   1   0   0   0   1   1   1
47	male	23   0   1   0   0   0   0   1   0   1
48	male	23   0   0   0   0   0   1   0   0   0
49	male	21   0   0   1   0   0   0   1   0   1
50	male	25   0   0   1   0   0   0   1   0   1
51	male	28   0   0   0   1   0   0   1   0   1
52	male	24   0   1   0   0   0   0   1   0   1
53	female	25   1   0   0   0   0   0   0   1   1
54	female	22   1   0   0   0   0   0   1   1   1
55	female	24   1   0   0   0   0   0   1   1   1
56	female	26   1   0   0   0   0   0   1   1   1
57	female	27   1   0   0   0   0   0   1   1   1
58	female	24   0   0   1   0   1   0   1   1   1
59	male	22   0   0   0   0   0   0   0   0   1
60	female	58   1   0   0   0   0   0   1   1   1
61	male	62   0   0   0   0   0   0   0   0   1
62	female	22   1   0   0   0   1   0   0   1   0
63	male	66   0   0   0   0   0   0   1   0   1
64	female	19   0   0   0   0   0   0   0   1   1
65	female	23   1   0   0   0   1   0   0   1   0
66	female	22   1   1   0   0   0   0   0   1   1
67	female	27   0   0   1   0   1   0   1   0   0
68	female	24   0   0   0   0   0   0   0   1   1
69	female	35   1   0   0   0   0   0   0   1   1
70	female	21   0   0   0   0   1   0   0   1   0
71	female	25   0   0   0   0   0   0   0   1   1
72	female	13   1   0   0   0   0   1   0   1   0
73	female	54   1   0   1   0   0   0   0   1   1
74	female	28   0   0   0   0   0   0   0   1   1
75	female	28   1   0   0   0   1   0   0   1   0
76	female	22   1   0   0   0   1   0   0   1   0
77	female	21   1   1   0   0   0   0   0   1   1
78	female	31   1   0   0   0   0   0   0   1   1
79	female	20   1   0   0   0   1   0   1   1   0
80	female	21   1   0   0   0   0   0   0   1   1
81	female	27   0   0   0   0   0   1   0   1   0
82	male	35   0   1   0   0   0   0   0   0   1
83	female	23   1   0   0   0   0   1   0   1   0
84	male	31   0   0   0   0   0   1   0   0   0
85	male	26   0   0   0   0   0   1   0   0   0
86	female	24   1   0   0   0   0   0   0   1   1
87	female	23   0   1   0   0   0   0   0   1   1
88	female	28   1   0   0   0   1   0   0   1   1
89	female	22   0   0   1   0   1   0   1   1   0
90	female	25   1   0   0   0   1   0   0   1   1
91	male	31   0   0   0   0   0   0   0   0   1
92	male	36   1   0   0   0   0   0   0   1   1
93	female	22   1   0   0   0   0   1   0   1   0
94	female	20   1   0   1   0   0   0   1   1   1
95	female	22   0   0   0   0   0   0   0   1   0
96	female	21   0   0   0   0   0   0   1   1   1
97	female	25   0   0   0   0   1   0   0   1   1
98	male	26   0   0   0   0   0   1   1   1   0
99	male	30   0   0   0   1   0   0   0   0   1
100	male	27   0   0   0   0   0   1   0   0   0
101	female	17   1   0   0   0   0   0   0   1   1
102	female	23   0   1   0   0   0   0   0   1   1
103	female	34   0   0   0   0   0   0   1   1   1
104	female	22   0   0   1   0   0   0   1   1   1
105	female	21   0   0   1   0   0   0   1   1   1
106	female	23   1   0   0   0   0   0   0   1   1
107	female	27   1   0   0   0   0   0   0   1   1
108	female	24   0   0   0   0   0   0   1   1   1
109	female	24   0   0   0   0   0   0   0   1   1
110	female	25   0   0   0   0   0   0   0   1   1
111	female	22   1   0   0   0   0   0   0   1   1
112	female	21   0   0   0   0   0   0   1   1   1
113	male	4    0   0   0   0   0   0   0   0   1
114	female	52   1   0   0   0   0   0   0   1   1
115	female	23   1   0   0   0   1   0   0   1   0
116	female	22   1   0   0   0   1   0   0   1   1
117	female	26   1   0   0   0   0   0   0   1   1
118	female	23   1   0   0   0   0   0   1   1   1
710	male	27   0   1   1   0   0   0   1   0   1
719	male	27   0   0   0   0   0   0   1   0   1
810	male	27   0   1   0   0   0   0   0   0   1
819	male	27   0   0   0   0   0   0   0   0   1
901	male	29   0   0   0   0   0   0   0   0   1
904	male	26   0   1   1   0   0   0   1   0   1
905	male	25   0   1   1   0   0   0   1   0   1
906	female	34   0   0   0   0   0   0   1   1   1
907	male	25   0   0   0   0   0   1   0   0   1
908	male	27   0   1   0   0   0   0   0   0   1
909	male	28   0   1   0   0   0   0   1   0   1
910	male	27   0   1   0   0   0   0   1   0   1
911	female	34   1   0   1   0   0   0   1   1   1
913	male	42   0   0   1   0   0   0   1   0   1
914	female	45   1   0   1   0   0   0   1   1   1
919	male	27   0   1   0   0   0   0   0   0   1
921	female	24   1   0   1   0   0   0   1   1   1
922	male	23   0   1   1   0   0   0   1   0   1
929	female	24   0   0   0   0   1   1   0   1   0
